subject_id,group,covariate_X,target_Y,window_index,lag_steps,lag_ms,f_stat_manual,p_value_manual,f_stat_statsmodels,p_value_statsmodels
sub-002,A,Fp1,P3,0,10,20,3.1095068894805586,0.0007168607280226695,3.1095068897211826,0.0007168607274002187
sub-002,A,Fp1,P3,0,20,40,2.522761986120924,0.00030564010362935443,2.5227619846610074,0.00030564010633539425
sub-002,A,Fp1,P3,0,30,60,1.9748015286451952,0.0017894906916624811,1.974801529817858,0.0017894906759952783
sub-002,A,Fp1,P3,0,40,80,2.0641554325935876,0.0002169714492975124,2.0641554344383,0.0002169714454522635
sub-002,A,Fp1,P3,0,50,100,2.5920645293506333,1.0244144541949073e-07,2.5920645302748473,1.0244144422885592e-07
sub-002,A,Fp1,P3,1,5,10,12.501987323720446,1.5838817995526698e-11,12.501987323704077,1.583881799608288e-11
sub-002,A,Fp1,P3,1,10,20,4.614728009950209,2.5192939679471107e-06,4.614728009972537,2.5192939677302262e-06
sub-002,A,Fp1,P3,1,20,40,2.0313221125561105,0.00527856201125719,2.031322110655054,0.00527856206628345
sub-002,A,Fp1,P3,1,30,60,2.1443760347998415,0.0004885508501977493,2.144376033804115,0.0004885508540087586
sub-002,A,Fp1,P3,1,40,80,2.0467054659805757,0.0002564640782823314,2.046705462047067,0.00025646408792517395
sub-002,A,Fp1,P3,1,50,100,2.4471363844852636,6.226774744791474e-07,2.447136385355074,6.226774678057842e-07
sub-002,A,Fp1,P3,2,5,10,12.589229274145872,1.3134161480888304e-11,12.589229274054839,1.3134161483454337e-11
sub-002,A,Fp1,P3,2,10,20,10.097306181295663,1.1170328139974984e-15,10.09730618077358,1.1170328162738526e-15
sub-002,A,Fp1,P3,2,20,40,2.2423539929544813,0.001608705301509503,2.242353992034642,0.0016087053100440503
sub-002,A,Fp1,P3,2,30,60,1.6683381139121916,0.015545760761780072,1.6683381118890703,0.015545760969071757
sub-002,A,Fp1,P3,2,40,80,1.7773528557805616,0.003003941008471792,1.7773528556122817,0.0030039410128508736
sub-002,A,Fp1,P3,2,50,100,1.8857840927978107,0.0004223540911470798,1.8857840860950463,0.00042235412146256803
sub-002,A,Fp1,P3,3,5,10,11.293322982759166,2.1343555188943142e-10,11.293322982665526,2.1343555193254012e-10
sub-002,A,Fp1,P3,3,10,20,2.6017848756050643,0.004303768983905722,2.601784875546232,0.004303768984777126
sub-002,A,Fp1,P3,3,20,40,1.9378547681665825,0.008753422129981907,1.9378547361668428,0.008753423624904798
sub-002,A,Fp1,P3,3,30,60,1.8457951343093275,0.004591741245540173,1.8457951018360181,0.0045917423094134465
sub-002,A,Fp1,P3,3,40,80,1.8657592452118004,0.0013762035029911493,1.865759246239702,0.0013762034902733546
sub-002,A,Fp1,P3,3,50,100,1.7314985505078249,0.0020923656090850143,1.731498537919659,0.0020923658727619357
sub-002,A,Fp1,P3,4,5,10,3.571964756055705,0.0034479062728975667,3.5719647559811656,0.003447906273427045
sub-002,A,Fp1,P3,4,10,20,6.052753172137844,9.191002292969147e-09,6.05275317179464,9.191002305383328e-09
sub-002,A,Fp1,P3,4,20,40,3.7810567034257594,8.872504666356886e-08,3.7810567054630844,8.87250454431279e-08
sub-002,A,Fp1,P3,4,30,60,1.895193416439343,0.0032171737880236626,1.8951934148577068,0.003217173825003357
sub-002,A,Fp1,P3,4,40,80,2.1387208806388696,0.00010521421567190685,2.1387208770460524,0.00010521421937754143
sub-002,A,Fp1,P3,4,50,100,2.204254153545322,1.1648437909221665e-05,2.2042541543802048,1.1648437794789034e-05
sub-002,A,P4,Fp2,0,5,10,18.16585817076384,9.826885780656973e-17,18.16585817065447,9.826885782897212e-17
sub-002,A,P4,Fp2,0,10,20,2.4373183261619373,0.007536513225383339,2.4373183261349296,0.00753651322606953
sub-002,A,P4,Fp2,0,20,40,5.121750009403202,8.749341655537139e-12,5.1217500089255985,8.749341684610041e-12
sub-002,A,P4,Fp2,0,30,60,4.79609129135082,1.8715079157509983e-14,4.796091290534343,1.871507930253389e-14
sub-002,A,P4,Fp2,0,40,80,3.9958979837488453,1.3128107035715072e-13,3.9958979839723114,1.3128107001689732e-13
